EXCHANGE,BASE,QUOTE
aofex,NFT,USDT
aofex,MINA,USDT
aofex,DOM,USDT
aofex,ZEN,BTC
aofex,ZEN,ETH
aofex,VET,BTC
aofex,VET,ETH
aofex,SC,BTC
aofex,SC,ETH
aofex,DOGK,AQ
aofex,DOGK,USDT
aofex,DOGEDF,USDT
aofex,ATA,USDT
aofex,SUN,AQ
aofex,SUN,USDT
aofex,TORO,USDT
aofex,AMP,USDT
aofex,KEEP,USDT
aofex,MLN,AQ
aofex,MLN,USDT
aofex,CTSI,AQ
aofex,CTSI,USDT
aofex,RLC,AQ
aofex,RLC,USDT
aofex,ERN,AQ
aofex,ERN,USDT
aofex,BOND,USDT
aofex,QNT,USDT
aofex,AAVE,BTC
aofex,AAVE,ETH
aofex,ALGO,ETH
aofex,ALGO,BTC
aofex,BADGER,ETH
aofex,BADGER,BTC
aofex,GRT,ETH
aofex,GRT,BTC
aofex,ENJ,ETH
aofex,ENJ,BTC
aofex,IOST,ETH
aofex,IOST,BTC
aofex,AVAX,ETH
aofex,AVAX,BTC
aofex,BTM,ETH
aofex,BTM,BTC
aofex,CHZ,ETH
aofex,CHZ,BTC
aofex,FORTH,ETH
aofex,FORTH,BTC
aofex,ZIL,ETH
aofex,ZIL,BTC
aofex,ZEC,ETH
aofex,ZEC,BTC
aofex,XMR,ETH
aofex,XMR,BTC
aofex,XLM,ETH
aofex,XLM,BTC
aofex,SAND,ETH
aofex,SAND,BTC
aofex,BABYDOGE,USDT
aofex,MINIDOGE,USDT
aofex,HF,USDT
aofex,SLP,AQ
aofex,SLP,USDT
aofex,TLM,AQ
aofex,TLM,USDT
aofex,FEAR,USDT
aofex,DPET,USDT
aofex,XCH,ETH
aofex,XCH,BTC
aofex,VALUE,ETH
aofex,VALUE,BTC
aofex,UMA,ETH
aofex,UMA,BTC
aofex,THETA,ETH
aofex,THETA,BTC
aofex,SUN,ETH
aofex,SUN,BTC
aofex,C98,USDT
aofex,C98,AQ
aofex,SKILL,USDT
aofex,MBOX,USDT
aofex,ILV,USDT
aofex,GHST,USDT
aofex,REVV,USDT
aofex,XNFT,USDT
aofex,SPS,USDT
aofex,YGG,USDT
aofex,CLV,AQ
aofex,CLV,USDT
aofex,TRU,AQ
aofex,TRU,USDT
aofex,DFA,AQ
aofex,DFA,USDT
aofex,XEC,AQ
aofex,XEC,USDT
aofex,ALPHA,AQ
aofex,ALPHA,USDT
aofex,PERP,AQ
aofex,PERP,USDT
aofex,COMP,USDT
aofex,ATOM,USDT
aofex,DEGO,AQ
aofex,DEGO,USDT
aofex,TOKE,AQ
aofex,TOKE,USDT
aofex,RAY,AQ
aofex,RAY,USDT
aofex,IOTX,AQ
aofex,IOTX,USDT
aofex,ORN,AQ
aofex,ORN,USDT
aofex,FARM,AQ
aofex,FARM,USDT
aofex,EPK,USDT
aofex,REQ,USDT
aofex,LUNA,AQ
aofex,LUNA,USDT
aofex,MASS,USDT
aofex,GALA,USDT
aofex,AUDIO,AQ
aofex,AUDIO,USDT
aofex,BIT,USDT
